rom_path,crc,header_mapper,header_submapper,mapper,submapper,mapper_source,has_autorun,is_valid,parse_error
0/10-Yard Fight (U).nes,3D564757,0,,0,0,rom_db_override,0,1,
0/110-in-1 (Menu).nes,2ED0E5B2,0,,0,,header,0,1,
0/1942 (JU) [p1].nes,7A1281CF,0,,0,0,rom_db_override,0,1,
0/1942 (PC10).nes,171251E3,0,,0,0,rom_db_override,0,1,
0/24-in-1 (Menu) [a1].nes,9110D0BC,0,,0,,header,0,1,
0/2600 Bros (SMB1 Hack).nes,5D656D35,0,,0,,header,0,1,
0/350-in-1 (Menu).nes,FF33A325,0,,0,0,rom_db_override,0,1,
0/3D Block [p1].nes,CAE5382D,0,,0,,header,0,1,
0/3D Block [p2].nes,EFE3D606,0,,0,,header,0,1,
0/4 Nin Uchi Mahjong (J) [h1].nes,67E5C853,0,,0,,header,0,1,
0/4 Nin Uchi Mahjong (J) [p1].nes,FDD89C45,0,,0,,header,0,1,
0/52 Games (Menu) (U) [p1].nes,A3A0162C,0,,0,,header,0,1,
0/54-in-1 (Game Star - GK-54) (Menu) [!].nes,479CA220,0,,0,,header,0,1,
0/58-in-1 (Menu) [p1].nes,2A25F7A3,0,,0,,header,0,1,
0/6-in-1 (Game Star - GK-L01A) (Menu) [!].nes,2000FFC8,0,,0,,header,0,1,
0/76-in-1 (Menu) (U).nes,AD6E96F1,0,,0,,header,0,1,
0/76-in-1 Menu [p1].nes,49638934,0,,0,,header,0,1,
0/ASCII Mario (Final) (No title) (SMB1 Hack).nes,FF263E73,0,,0,,header,0,1,
0/ASCII Mario (Final) (SMB1 Hack).nes,39958F64,0,,0,,header,0,1,
0/Acid Bros (SMB1 Hack).nes,B90C269D,0,,0,,header,0,1,
0/Adventures of Ice Mario (SMB1 Hack).nes,5E863DB6,0,,0,,header,0,1,
0/Afro Mario Bros (Mario Bros Hack).nes,872BFFF4,0,,0,,header,0,1,
0/Akka-Pong (Arkanoid Hack) [a1].nes,0C822AF4,0,,0,,header,0,1,
0/Akka-Pong (Arkanoid Hack).nes,D0A1EF16,0,,0,,header,0,1,
0/Alice Cooper (SMB1 Hack) (Older).nes,1CD09706,0,,0,,header,0,1,
0/Alice Cooper (SMB1 Hack).nes,C23CC4EE,0,,0,,header,0,1,
0/All Night Nippon Super Mario Bros [p1].nes,E2482419,0,,0,,header,0,1,
0/Amiga! Demo (PD) [a1].nes,088CADC8,0,,0,,header,0,1,
0/Amiga! Demo (PD).nes,30ABA0E6,0,,0,,header,0,1,
0/Annoid (Arkanoid Hack).nes,69E8A8B3,0,,0,,header,0,1,
0/Architect (Dr. PC Jr.) (Chinese).nes,4D2C4C89,1,,0,0,rom_db_override,0,1,
0/Arctic Tennis (Tennis Hack).nes,D5E8D258,0,,0,0,rom_db_override,0,1,
0/Arena Mario (SMB1 Hack).nes,D686229B,0,,0,,header,0,1,
0/Arka Boom (Arkanoid Hack).nes,89BF8453,0,,0,,header,0,1,
0/Arkanoid (J) [T-Port].nes,55DCD085,0,,0,,header,0,1,
0/Arkanoid 98 (Arkanoid Hack).nes,89526CDA,0,,0,,header,0,1,
0/Astro Robo Sasa (J) [p1].nes,41496EBD,0,,0,0,rom_db_override,0,1,
0/Atomic Robo-Kid Demo (PD) [a1].nes,B72F42D7,0,,0,,header,0,1,
0/Atomic Robo-Kid Demo (PD).nes,40EB06C4,0,,0,,header,0,1,
0/Austin Kung Fu (Hack).nes,4EDC1678,0,,0,,header,0,1,
0/Autobot Bros (SMB1 Hack).nes,87052AC0,0,,0,,header,0,1,
0/B-Wings (J) [p1].nes,59005CCE,0,,0,0,rom_db_override,0,1,
0/BGColor (PD).nes,BE9E8A36,0,,0,,header,0,1,
0/Babio - Super Baby Bros (Old) (SMB1 Hack).nes,17CC69DA,0,,0,,header,0,1,
0/Babio - Super Baby Bros (SMB1 Hack).nes,B717AA67,0,,0,,header,0,1,
0/Background Music (PD).nes,89FC7816,0,,0,,header,0,1,
0/Bald Mario (SMB1 Hack).nes,D70FC926,0,,0,,header,0,1,
0/Balloon Bros (Final) (SMB1 Hack) [a1].nes,BACA9FA8,0,,0,,header,0,1,
0/Balloon Bros (Final) (SMB1 Hack).nes,7C792EBF,0,,0,,header,0,1,
0/Balloon Fight (E).nes,E54138A9,0,,0,0,rom_db_override,0,1,
0/Balloon Fight (JU) [T-Span0.99].nes,0F5B0DEE,0,,0,,header,0,1,
0/Balloon Fight (JU) [p1].nes,2721E7B3,0,,0,0,rom_db_override,0,1,
0/Balloon Fight (JU).nes,2B462010,0,,0,0,rom_db_override,0,1,
0/Balloon Fight (PC10).nes,2B462010,0,,0,0,rom_db_override,0,1,
0/Balloon Fight (VS) (Player 2 Mode).nes,672BD0E4,0,,0,,header,0,1,
0/Balloon Mario (Joust Hack).nes,A8DA67B7,0,,0,0,rom_db_override,0,1,
0/Balloon_fight.nes,ED6EB6BC,0,,0,0,rom_db_override,0,1,
0/Baltron (J) [p1].nes,77415AD3,0,,0,,header,0,1,
0/Baltron (J) [p2].nes,CBAD8B09,0,,0,0,rom_db_override,0,1,
0/Barney Bros (SMB1 Hack).nes,1192AA4C,0,,0,,header,0,1,
0/Baseball (J) [p1].nes,580E350E,0,,0,0,rom_db_override,0,1,
0/Baseball (PC10) [!].nes,0DE4E22C,0,,0,,header,0,1,
0/Baseball (UE) [!].nes,AFDCBD24,0,,0,0,rom_db_override,0,1,
0/Baseball (VS) (Player 1 Mode).nes,FF84F552,0,,0,,header,0,1,
0/Baseball (VS) (Player 2 Mode).nes,3B00B967,0,,0,,header,0,1,
0/Battle Beasts (Donkey Kong 3 Hack).nes,BCD7E5EA,0,,0,,header,0,1,
0/Battle City (J) [p1].nes,D6DA2A1E,0,,0,,header,0,1,
0/Battle City (J) [p2].nes,57FA9CE3,0,,0,0,rom_db_override,0,1,
0/Battle City (VS) [p1][!].nes,BFD87C08,0,,0,,header,0,1,
0/Battle City 2 (Warpman Hack).nes,B5C23B0C,0,,0,0,rom_db_override,0,1,
0/Battletank 2000 (PD).nes,CFC3A1E4,0,,0,,header,0,1,
0/Beer-aga (Galaga Hack).nes,80A2EFBE,0,,0,0,rom_db_override,0,1,
0/Big Nose Mario (SMB1 Hack).nes,F5A6CB6D,0,,0,,header,0,1,
0/Bigball (Arkanoid Hack).nes,B29E4CF5,0,,0,,header,0,1,
0/Billy Bros (SMB1 Hack).nes,91322665,0,,0,0,rom_db_override,0,1,
0/Binary Land (J) [p1].nes,26624522,0,,0,0,rom_db_override,0,1,
0/Bird Week (J) [hM00].nes,65B96D61,0,,0,,header,0,1,
0/Birdman (Bomberman Collection Hack) [a1].nes,7B1133A3,0,,0,,header,0,1,
0/Birdman (Bomberman Collection Hack).nes,94687B47,0,,0,,header,0,1,
0/Blind Fu (Kung Fu Hack).nes,C2E6ABB9,0,,0,,header,0,1,
0/Blink (SMB1 Hack).nes,F0D02F6A,0,,0,,header,0,1,
0/Blob Muncher (Ms Pac-Man Hack) (Namco).nes,092989CD,0,,0,,header,0,1,
0/Bloody Ax Bros (SMB1 Hack).nes,0590E67B,0,,0,,header,0,1,
0/Bloody Dagger Bros (SMB1 Hack).nes,BBAB02AD,0,,0,,header,0,1,
0/Bokosuka Quest III (Hack).nes,8FE8ADC6,0,,0,0,rom_db_override,0,1,
0/Bokosuka Wars (ASCII Chinese) (Bokosuka Wars Hack).nes,B2BE8228,0,,0,,header,0,1,
0/Bokosuka Wars (J) [h1].nes,E5F9B16F,0,,0,,header,0,1,
0/Bokosuka Wars (J) [p1].nes,43287E79,0,,0,0,rom_db_override,0,1,
0/BombSweeper by SnowBro V0.5 (PD).nes,6DFB1B97,0,,0,0,rom_db_override,0,1,
0/Bomber Mario (Bomberman Hack).nes,4407B612,0,,0,,header,0,1,
0/Bomber Mario v1.00 (SMB1 Hack).nes,C21522BA,0,,0,,header,0,1,
0/Bomber Mario vx.xx (SMB1 Hack).nes,85578104,0,,0,,header,0,1,
0/Bomberman (J) [h1].nes,F514D105,0,,0,,header,0,1,
0/Bomberman (J) [p1].nes,85D79AB2,0,,0,0,rom_db_override,0,1,
0/Bomberman (U).nes,DB9DCF89,0,,0,0,rom_db_override,0,1,
0/Bomberman 97 (Bomberman Collection Hack).nes,E81A0B12,0,,0,,header,0,1,
0/BuB-BoB (Dig Dug Hack).nes,345A5505,0,,0,,header,0,1,
0/Bubbleman (Bomberman Collection Hack).nes,78D184AD,0,,0,,header,0,1,
0/Bud Bros (SMB1 Hack).nes,C63748EB,0,,0,,header,0,1,
0/Burger Time (J) [p1].nes,E6717DC8,0,,0,0,rom_db_override,0,1,
0/Burger Time (U) [!].nes,DAF9D7E3,0,,0,0,rom_db_override,0,1,
0/CIRCUS.NES,E583EC5E,0,,0,,header,0,1,
0/CMC Wavy Demo (PD).nes,F23C035C,0,,0,,header,0,1,
0/Capless Mario and the Bottomless Pit (SMB1 Hack).nes,F94F5B76,0,,0,,header,0,1,
0/CardCaptor Sakura (Tower of Druaga Hack).nes,4BA1756D,0,,0,,header,0,1,
0/Carnage (SMB1 Hack).nes,8DD0A0C4,0,,0,0,rom_db_override,0,1,
0/Censored Mario (Mario Bros Hack).nes,AB971BA9,0,,0,,header,0,1,
0/Challenger (J) [p1].nes,2C163614,0,,0,0,rom_db_override,0,1,
0/Championship Lode Runner (J) [p1].nes,3784AFA0,0,,0,0,rom_db_override,0,1,
0/Chicken Bros (SMB1 Hack).nes,6C6BC330,0,,0,,header,0,1,
0/Chinese Character Demo (PD).nes,2B7C1B67,0,,0,,header,0,1,
0/Chogga (SMB1 Hack).nes,C7CB29EF,0,,0,,header,0,1,
0/Chou Jikuu Yousai - Macross (J) [p1].nes,5E5D5963,0,,0,,header,0,1,
0/Chou Jikuu Yousai - Macross (J) [p2].nes,E61AC1B5,0,,0,,header,0,1,
0/Chou Jikuu Yousai - Macross (J) [p3].nes,7BF1957F,0,,0,0,rom_db_override,0,1,
0/Chubby Cherub (U).nes,77833016,0,,0,0,rom_db_override,0,1,
0/Cikco Charlie (Circus Charlie Hack).nes,E8A789D7,0,,0,,header,0,1,
0/Circus Charlie (J) [T-Swed].nes,BD9F77E1,0,,0,,header,0,1,
0/Circus Charlie (J) [p1].nes,1A39343C,0,,0,,header,0,1,
0/Circus Charlie (J) [p1][a1].nes,CB4D23A6,0,,0,,header,0,1,
0/Circus Charlie (J) [p2].nes,357B18FD,0,,0,0,rom_db_override,0,1,
0/Circus Charlie.nes,1A39343C,0,,0,,header,0,1,
0/Circus Mario (Circus Charlie Hack).nes,E267BD67,0,,0,,header,0,1,
0/Cloud Bros (SMB1 Hack).nes,DC82E7B0,0,,0,,header,0,1,
0/Clu Clu Land (FDS Hack) (J).nes,39B14AB7,0,,0,,header,0,1,
0/Clu Clu Land (JU) [p1].nes,CEC1C64C,0,,0,0,rom_db_override,0,1,
0/Clu Clu Land (JU).nes,48F68D40,0,,0,0,rom_db_override,0,1,
0/Colour Bars Mapper 0 (PD).nes,B78A6A34,0,,0,,header,0,1,
0/Colours Demo (PD) [a1].nes,9382F624,0,,0,,header,0,1,
0/Colours Demo (PD).nes,9874429E,0,,0,,header,0,1,
0/Crappy Mario (SMB1 Hack) [a1].nes,6A407086,0,,0,,header,0,1,
0/Crappy Mario (SMB1 Hack).nes,A7A55AAB,0,,0,,header,0,1,
0/Crazy Coons in Cloud Land (SMB1 Hack).nes,3FB1D48A,0,,0,,header,0,1,
0/Cum Fu (Kung Fu Hack).nes,D2887981,0,,0,,header,0,1,
0/Cure for Cancer (Donkey Kong Hack).nes,8168080F,0,,0,,header,0,1,
0/Cyber Mario (SMB1 Hack).nes,B0D87F82,0,,0,,header,0,1,
0/Defender 2 (U).nes,A2AF25D0,0,,0,0,rom_db_override,0,1,
0/Deformed Bros (SMB1 Hack).nes,0F755640,0,,0,,header,0,1,
0/Devil World (E) [!].nes,0C783F0C,0,,0,0,rom_db_override,0,1,
0/Devil World (J) [p1].nes,8D4E3ECA,0,,0,0,rom_db_override,0,1,
0/Dick & Milk (Nuts & Milk Hack).nes,24D16901,0,,0,,header,0,1,
0/Dick Dug (Dig Dug Hack).nes,7DE8AAE7,0,,0,,header,0,1,
0/Dig Dug (J) [T-Span].nes,9B63C92D,0,,0,,header,0,1,
0/Dig Dug II (J) [p1].nes,BD1A6751,0,,0,0,rom_db_override,0,1,
0/Dig Dug II (U) [!].nes,DBB06A25,0,,0,0,rom_db_override,0,1,
0/Dismembered Mario (SMB1 Hack).nes,C1208F5E,0,,0,,header,0,1,
0/Dithering Demo (PD).nes,4C2B1E1D,0,,0,,header,0,1,
0/Donald Magic.nes,65EFDA4C,0,,0,,header,0,1,
0/Donkey Kong (JU) [T-Norwegian_Just4fun].nes,CAE2ACB4,0,,0,,header,0,1,
0/Donkey Kong (JU) [T-Port_BRGames].nes,677AB50A,0,,0,,header,0,1,
0/Donkey Kong (JU) [T-Span].nes,13B1ECE6,0,,0,,header,0,1,
0/Donkey Kong (JU) [p1].nes,B0E19418,0,,0,0,rom_db_override,0,1,
0/Donkey Kong (JU).nes,6F97C721,0,,0,0,rom_db_override,0,1,
0/Donkey Kong 3 (JUE) [p1].nes,791138D9,0,,0,,header,0,1,
0/Donkey Kong 3 (JUE).nes,B3D74C0D,0,,0,0,rom_db_override,0,1,
0/Donkey Kong Jr. (JU) [p1].nes,6BF61CB5,0,,0,0,rom_db_override,0,1,
0/Donkey Kong Jr. (JU).nes,4864C304,0,,0,0,rom_db_override,0,1,
0/Donkey Kong Jr. Math (U) [p1].nes,8FA53D20,0,,0,0,rom_db_override,0,1,
